Time,Value
0,0
0.001,0.0314108
0.002,0.0627905
0.003,0.0941083
0.004,0.125333
0.005,0.156434
0.006,0.187381
0.007,0.218143
0.008,0.24869
0.009,0.278991
0.01,0.309017
0.011,0.338738
0.012,0.368125
0.013,0.397148
0.014,0.425779
0.015,0.45399
0.016,0.481754
0.017,0.509041
0.018,0.535827
0.019,0.562083
0.02,0.587785
0.021,0.612907
0.022,0.637424
0.023,0.661312
0.024,0.684547
0.025,0.707107
0.026,0.728969
0.027,0.750111
0.028,0.770513
0.029,0.790155
0.03,0.809017
0.031,0.827081
0.032,0.844328
0.033,0.860742
0.034,0.876307
0.035,0.891007
0.036,0.904827
0.037,0.917755
0.038,0.929776
0.039,0.940881
0.04,0.951056
0.041,0.960294
0.042,0.968583
0.043,0.975917
0.044,0.982287
0.045,0.987688
0.046,0.992115
0.047,0.995562
0.048,0.998027
0.049,0.999507
0.05,1
0.051,0.999507
0.052,0.998027
0.053,0.995562
0.054,0.992115
0.055,0.987688
0.056,0.982287
0.057,0.975917
0.058,0.968583
0.059,0.960294
0.06,0.951057
0.061,0.940881
0.062,0.929776
0.063,0.917755
0.064,0.904827
0.065,0.891007
0.066,0.876307
0.067,0.860742
0.068,0.844328
0.069,0.827081
0.07,0.809017
0.071,0.790155
0.072,0.770513
0.073,0.750111
0.074,0.728969
0.075,0.707107
0.076,0.684547
0.077,0.661312
0.078,0.637424
0.079,0.612907
0.08,0.587785
0.081,0.562083
0.082,0.535827
0.083,0.509041
0.084,0.481754
0.085,0.45399
0.086,0.425779
0.087,0.397148
0.088,0.368125
0.089,0.338738
0.09,0.309017
0.091,0.278991
0.092,0.24869
0.093,0.218143
0.094,0.187381
0.095,0.156435
0.096,0.125333
0.097,0.0941082
0.098,0.0627906
0.099,0.0314108
0.1,-4.68134e-08
0.101,-0.0314109
0.102,-0.0627905
0.103,-0.0941083
0.104,-0.125333
0.105,-0.156434
0.106,-0.187381
0.107,-0.218143
0.108,-0.24869
0.109,-0.278991
0.11,-0.309017
0.111,-0.338738
0.112,-0.368125
0.113,-0.397148
0.114,-0.425779
0.115,-0.453991
0.116,-0.481754
0.117,-0.509041
0.118,-0.535827
0.119,-0.562083
0.12,-0.587785
0.121,-0.612907
0.122,-0.637424
0.123,-0.661312
0.124,-0.684547
0.125,-0.707107
0.126,-0.728969
0.127,-0.750111
0.128,-0.770513
0.129,-0.790155
0.13,-0.809017
0.131,-0.827081
0.132,-0.844328
0.133,-0.860742
0.134,-0.876307
0.135,-0.891007
0.136,-0.904827
0.137,-0.917755
0.138,-0.929776
0.139,-0.940881
0.14,-0.951057
0.141,-0.960294
0.142,-0.968583
0.143,-0.975917
